Year,State,TotalCount,pop1000,rate
1919,NORTH DAKOTA,208,648,0.32098765432098764
1919,OHIO,10514,5683,1.8500791835298258
1919,OKLAHOMA,65,2003,0.032451323015476784
1919,OREGON,121,774,0.15633074935400518
1919,PENNSYLVANIA,16152,8643,1.8687955570982298
1919,SOUTH CAROLINA,109,1687,0.06461173681090694
1919,SOUTH DAKOTA,36,606,0.0594059405940594
1919,TENNESSEE,1113,2305,0.48286334056399133
1919,TEXAS,231,4631,0.0498812351543943
1919,UTAH,45,446,0.10089686098654709
1919,VERMONT,352,352,1
1919,VIRGINIA,997,2318,0.4301121656600518
1919,WASHINGTON,1142,1333,0.8567141785446362
1919,WEST VIRGINIA,300,1464,0.20491803278688525
1919,WISCONSIN,2112,2600,0.8123076923076923
1919,WYOMING,65,191,0.3403141361256545
1920,ALABAMA,282,2359,0.1195421788893599
1920,ARKANSAS,432,1756,0.2460136674259681
1920,CALIFORNIA,8096,3554,2.277996623522791
1920,COLORADO,4073,937,4.346851654215581
1920,CONNECTICUT,3437,1391,2.4708842559309847
1920,DELAWARE,498,219,2.2739726027397262
1920,GEORGIA,1146,2926,0.39166097060833904
1920,IDAHO,90,433,0.20785219399538107
1920,ILLINOIS,13319,6663,1.9989494221822002
1920,INDIANA,10574,2947,3.5880556498133696
1920,IOWA,1082,2400,0.4508333333333333
1920,KANSAS,2768,1769,1.5647258338044092
1920,KENTUCKY,1218,2421,0.5030978934324659
1920,LOUISIANA,1053,1813,0.5808052950910094
1920,MAINE,783,771,1.0155642023346303
1920,MARYLAND,14,1464,0.009562841530054645
1920,MASSACHUSETTS,22880,3882,5.8938691396187535
1920,MICHIGAN,9766,3723,2.623153370937416
1920,MINNESOTA,2212,2403,0.9205160216396171
1920,MISSISSIPPI,7,1800,0.0038888888888888888
1920,MISSOURI,1351,3404,0.39688601645123384
1920,MONTANA,2133,543,3.9281767955801103
1920,NEBRASKA,2073,1300,1.5946153846153845
1920,NEVADA,234,78,3
1920,NEW HAMPSHIRE,2148,444,4.837837837837838
1920,NEW JERSEY,15279,3198,4.777673545966229
1920,NEW MEXICO,107,363,0.29476584022038566
1920,NEW YORK,14486,10282,1.4088698696751605
1920,NORTH CAROLINA,735,2588,0.2840030911901082
1920,NORTH DAKOTA,101,646,0.1563467492260062
1920,OHIO,18577,5799,3.203483359199862
1920,OKLAHOMA,878,2055,0.4272506082725061
1920,OREGON,1540,788,1.9543147208121827
1920,PENNSYLVANIA,24461,8740,2.798741418764302
1920,RHODE ISLAND,147,613,0.2398042414355628
1920,SOUTH CAROLINA,154,1685,0.0913946587537092
1920,SOUTH DAKOTA,614,640,0.959375
1920,TENNESSEE,1106,2329,0.47488192357234865
1920,TEXAS,697,4723,0.1475756934152022
1920,UTAH,2027,453,4.474613686534217
1920,VERMONT,652,353,1.8470254957507082
1920,VIRGINIA,3254,2347,1.3864507882403068
1920,WASHINGTON,5718,1373,4.164603058994902
1920,WEST VIRGINIA,1850,1470,1.2585034013605443
1920,WISCONSIN,10683,2679,3.9876819708846583
1920,WYOMING,96,197,0.4873096446700508
1921,ALABAMA,472,2402,0.1965029142381349
1921,ARKANSAS,1540,1769,0.8705483323911815
1921,CALIFORNIA,6965,3795,1.8353096179183135
1921,COLORADO,3088,961,3.2133194588969825
1921,CONNECTICUT,1697,1415,1.1992932862190813
