Year,state,TotalCount,pop1000,epi_rate,division,region
1915,KANSAS,223,1687,13.218731475992888,West North Central,North Central
1915,KENTUCKY,417,2401,17.367763431903374,East South Central,South
1915,LOUISIANA,352,1755,20.056980056980056,West South Central,South
1915,MAINE,8,774,1.03359173126615,New England,Northeast
1915,MARYLAND,20,1401,1.4275517487508922,South Atlantic,South
1915,MASSACHUSETTS,14903,3705,402.2402159244264,New England,Northeast
1915,MICHIGAN,1031,3263,31.596690162427215,East North Central,North Central
1915,MISSOURI,39,3492,1.1168384879725086,West North Central,North Central
1915,MONTANA,28,469,5.970149253731343,Mountain,West
1915,NEBRASKA,341,1272,26.808176100628934,West North Central,North Central
1915,NEW HAMPSHIRE,33,443,7.44920993227991,New England,Northeast
1915,NEW JERSEY,6303,2850,221.15789473684208,Middle Atlantic,Northeast
1915,NEW YORK,7646,9700,78.82474226804123,Middle Atlantic,Northeast
1915,NORTH CAROLINA,1,2473,0.040436716538617065,South Atlantic,South
1915,OHIO,7602,5251,144.7724243001333,East North Central,North Central
1915,OKLAHOMA,1,1860,0.053763440860215055,West South Central,South
1915,OREGON,202,745,27.114093959731544,Pacific,West
1915,PENNSYLVANIA,20804,8362,248.79215498684525,Middle Atlantic,Northeast
1915,RHODE ISLAND,2,597,0.33500837520938026,New England,Northeast
1915,SOUTH CAROLINA,2,1635,0.12232415902140673,South Atlantic,South
1915,TENNESSEE,51,2294,2.223190932868352,East South Central,South
1915,TEXAS,11,4368,0.2518315018315018,West South Central,South
1915,UTAH,53,430,12.325581395348838,Mountain,West
1915,VERMONT,5,360,1.3888888888888888,New England,Northeast
1915,VIRGINIA,424,2294,18.48299912816042,South Atlantic,South
1915,WASHINGTON,246,1239,19.854721549636803,Pacific,West
1915,WEST VIRGINIA,63,1387,4.542177361211247,South Atlantic,South
1915,WISCONSIN,2051,2535,80.90729783037476,East North Central,North Central
1916,ALABAMA,66,2359,2.7977956761339553,East South Central,South
1916,ARKANSAS,26,1719,1.5125072716695753,West South Central,South
1916,CALIFORNIA,1741,3071,56.691631390426565,Pacific,West
1916,COLORADO,336,892,37.66816143497758,Mountain,West
1916,CONNECTICUT,3974,1294,307.1097372488408,New England,Northeast
1916,DELAWARE,1088,219,496.8036529680365,South Atlantic,South
1916,FLORIDA,1,924,0.10822510822510822,South Atlantic,South
1916,ILLINOIS,10638,6274,169.55690149824673,East North Central,North Central
1916,INDIANA,1744,2897,60.200207110804286,East North Central,North Central
1916,IOWA,176,2376,7.4074074074074066,West North Central,North Central
1916,KANSAS,896,1727,51.88187608569774,West North Central,North Central
